Surface;Perimetre;Compacite;Bord;Centre de gravite;Rayon;Coefficient A;Coefficient B
2933;225.74;1.38;1;(0|0);0.00;-0.00;1.42
2423;200.00;1.31;1;(0|0);0.00;-0.00;1.42
962;142.07;1.67;0;(0|0);0.00;-0.00;1.42
1746;184.71;1.55;1;(0|0);0.00;-0.00;1.42
2362;220.83;1.64;0;(0|0);0.00;-0.00;1.42
2457;247.20;1.98;0;(0|0);0.00;-0.00;1.42
962;140.00;1.62;0;(0|0);0.00;-0.00;1.42
2457;239.74;1.86;0;(0|0);0.00;-0.00;1.42
1330;175.40;1.84;0;(0|0);0.00;-0.00;1.42
1330;160.49;1.54;0;(0|0);0.00;-0.00;1.42
2038;203.38;1.62;0;(0|0);0.00;-0.00;1.42
990;113.00;1.03;1;(0|0);0.00;-0.00;1.42
943;123.40;1.28;1;(0|0);0.00;-0.00;1.42
3179;256.14;1.64;0;(0|0);0.00;-0.00;1.42
962;147.87;1.81;0;(0|0);0.00;-0.00;1.42
1508;194.08;1.99;0;(0|0);0.00;-0.00;1.42
1330;158.00;1.49;0;(0|0);0.00;-0.00;1.42
2362;243.20;1.99;0;(0|0);0.00;-0.00;1.42
1330;158.00;1.49;0;(0|0);0.00;-0.00;1.42
2024;194.64;1.49;1;(0|0);0.00;-0.00;1.42
